cycliste,n_message,time,message
cree
Cycliste_azery,0000, 1528378534.9797614,station_maison = [(31.3399609, -92.6773935)]
Cycliste_azery,0001, 1528378534.9856207,station_travail = 
cree
Cycliste_azeyb,0000, 1528378931.288448,station_maison = [(30.2515627, -98.168261)]
Cycliste_azeyb,0001, 1528378931.2954998,station_travail = 
cree
Cycliste_azet6,0000, 1528473111.49173,station_maison = [(31.2404084, -96.9991391)]
Cycliste_azet6,0001, 1528473111.5116994,station_travail = 
cree
Cycliste_azer2,0000, 1528474188.8728287,station_maison = [(37.4205877, -111.7451672)]
Cycliste_azer2,0001, 1528474188.8926923,station_travail = 
cree
Cycliste_azey1,0000, 1528475252.6983476,station_maison = [(35.9340674, -92.0494104)]
Cycliste_azey1,0001, 1528475252.7181141,station_travail = 
cree
Cycliste_azeti,0000, 1528581041.299273,station_maison = [(35.816559, -82.1759469)]
Cycliste_azeti,0001, 1528581041.3012733,station_travail = 
